id originale,Cote,Auteur.trice,Titre,Année originale,Année,Genre textuel,Domaine,Page,cotexte gauche,pivot (cible),cotexte droit,-5,-4,-3,-2,-1,TEMPS (forme),pour/à (forme),SOI (forme),1,2,3,tri,tri_notes,TEMPS (u.l.),pour/à (u.l.),SOI (u.l.),TEMPS_nombre,SOI_personne,SOI_nombre,verbe combiné (u.l.),verbe_mode,négation
605,L679,MARITAIN Jacques,Humanisme intégral : problèmes temporels et spirituels d'une nouvelle chrétienté,1936,1936,non renseigné,philosophie,133,"chrétien n' a pas les mêmes sources que les autres ; il procède du coeur d' un Dieu flagellé et tourné en dérision , crucifié hors des portes de la ville . "" il est",temps pour lui,"de mettre de nouveau , comme jadis dans les siècles médiévaux , la main aux choses de la cité terrestre , mais en sachant bien que sa force et sa grandeur sont d' ailleurs ,",ville,.,,il,est,temps,pour,lui,de,mettre,de,non,,temps,pour,lui,sing,3,sing,,,
606,L679,MARITAIN Jacques,Humanisme intégral : problèmes temporels et spirituels d'une nouvelle chrétienté,1936,1936,non renseigné,philosophie,303,"ses dangers , dont l' observation est si instructive pour l' historien et pour le philosophe , et que l' église catholique accepte parce qu' elle sait qu' elle a Dieu et le",temps pour elle,". Tandis qu' actuellement en Allemagne , la place reconnue dans la vie publique aux oeuvres et institutions d' église et à l' apostolat de la foi se rétrécit de plus en",elle,a,Dieu,et,le,temps,pour,elle,.,Tandis,qu',,,,,,,,,,,
607,K946,ALAIN ,Propos,1936,1936,Ecrits non fictionnels,philosophie,294,au mont - Valérien ; ce n' est pas un bel endroit . Mais plutôt partons pour la guerre . Je sais que le colonel ne vous refuse rien . Vous obtiendrez cette faveur en même,temps pour vous,", pour moi , et pour deux ou trois bons garçons qui s' ennuient ici . N' ayant rien à conserver , vous serez brave . Vous rencontrerez bien quelque morceau d' obus là-bas ;",obtiendrez,cette,faveur,en,même,temps,pour,vous,",",pour,moi,,,,,,,,,,,
608,K946,ALAIN ,Propos,1936,1936,Ecrits non fictionnels,philosophie,877,". "" ô solitude , ô pauvreté ! "" tout homme est un poète qui se plaint . J' ai ouï conter , au sujet d' un enfant bien doué , que son maître de piano occupait une bonne partie du",temps à lui,"parler des biographies , des écoles et des genres ; ce qui prépare peut-être à parler passablement de Beethoven , mais nullement à jouer ses oeuvres . Or , parler",occupait,une,bonne,partie,du,temps,à,lui,parler,des,biographies,,,,,,,,,,,
609,K946,ALAIN ,Propos,1936,1936,Ecrits non fictionnels,philosophie,1089,", il est très précieux que la religion soit incertaine . Car la perfection est douée d' une prodigieuse puissance pour attirer notre adhésion ; nous passons alors notre",temps à nous,"convertir , bien vainement . Au lieu que le grand parti , si l'on peut dire , nous tient au bord du néant . à nous de frapper sur l' être ! Toutefois , par ce jugement même qui",;,nous,passons,alors,notre,temps,à,nous,convertir,",",bien,,,,,,,,,,,
610,E480,HOPPENOT Hélène,Journal 1936-1940 : «Hitler sait attendre. Et nous?»,1936-1940,1940,Ecrits non fictionnels,histoire,140,". Elle accepte volontiers les petits sacrifices que les gens très humbles sont à même de lui offrir : leur temps ou leur repos de la nuit , peut-être parce que son",temps à elle,lui semble sans valeur . Mais pas son argent . 11 février [ 1938 ] Quand un pauvre ou un mendiant — ce qui est bien différent — tend la main et que je ne lui donne rien ( une,",",peut-être,parce,que,son,temps,à,elle,lui,semble,sans,,,,,,,,,,,
611,E480,HOPPENOT Hélène,Journal 1936-1940 : «Hitler sait attendre. Et nous?»,1936-1940,1940,Ecrits non fictionnels,histoire,257,"et tromper . « Il y a surtout une chose dont je souffre : le manque de sommeil : il me faut huit heures pleines comme un enfant , et si je me les accorde , il ne me reste plus de",temps pour moi,.. » [ ... ] 27 février [ 1939 ] L' Espagne républicaine est morte . La France lui a donné le coup de grâce avant même que son gouvernement se soit effondré . Léger et,ne,me,reste,plus,de,temps,pour,moi,..,»,[,non,,temps,pour,moi,sing,1,sing,,,
612,K359,MALRAUX André,L'Espoir,1937,1937,Ecrits fictionnels,non renseigné,491,. Magnin le regardait du haut de ses moustaches avec sympathie . - depuis combien de temps n' avez -vous pas piloté ? - depuis la guerre . - diable ! Il vous faudra combien de,temps pour vous,"remettre en forme ? - je crois quelques heures . Magnin le regarda sans rien dire . "" je crois quelques heures , "" répéta Schreiner . - vous travailliez dans l' aviation ? -",Il,vous,faudra,combien,de,temps,pour,vous,remettre,en,forme,non,,temps,pour,vous,sing,2,?,,,
613,S655,YOURCENAR Marguerite,Les Vagues [trad.],1937,1937,Ecrits fictionnels,non renseigné,168,"ce qui s' est brisé sur ces pavés durs . Je réussirai à assembler quelques mots , à forger autour de nous tous un clair cercle d' acier . «  Mais aujourd'hui je n' ai pas une",minute à moi,". Jamais de répit , jamais d' ombre projetée par une feuille qui tremble , jamais de coin tranquille où s' abriter du soleil , où s' asseoir auprès d' un être aimé dans la",je,n',ai,pas,une,minute,à,moi,.,Jamais,de,,,,,,,,,,,
614,K396,CLAUDEL Paul,Un poète regarde la croix,1938,1938,non renseigné,religion,141,"moyens . C' est la croix , paraît -il , que tu aimes . Eh bien , on te l' a fournie , la croix . Tâche d' en descendre si tu le peux . Ce Dieu dont tu avais plein la bouche , c' est le",moment pour lui,de se montrer . Il me semble que nous lui avons procuré une occasion . Descends de ta croix . Dis -lui qu' il t' aide ... quoi ? Qu' est -ce qu' il dit ? ... Eli ... Eli ... avez -vous,bouche,",",c',est,le,moment,pour,lui,de,se,montrer,,,,,,,,,,,
615,L487,MAURIAC François,Asmodée,1938,1938,Ecrits fictionnels,non renseigné,65,"-vous là ? Emmanuele . - je relis David Copperfield , pour la deuxième fois ... je le sais presque par coeur . Je n' ai qu' à ouvrir le livre au hasard ... Blaise . - il serait",temps pour vous,"de faire des lectures plus sérieuses . Emmanuele . - je le pense aussi , Monsieur Coûture . Blaise . - je puis vous donner quelques conseils . Emmanuele . - vous êtes bien",Blaise,.,-,il,serait,temps,pour,vous,de,faire,des,non,,temps,pour,vous,sing,2,?,,,
616,L635,GUÉHENNO Jean,"Journal d'une ""Révolution"" : 1937-1938",1938,1938,non renseigné,non renseigné,206,", depuis trois années . Mais les justes idées , qui sont les occasions de nos tricheries , elles , ne trichent pas . Elles demeurent inaltérables et pures ; elles ont le",temps pour elles,", et leur lumière finit par changer les hommes et les lois . Quand les lois ne sont vidées de substance , quand elles ne sont plus d' accord avec les exigences nouvelles de",pures,;,elles,ont,le,temps,pour,elles,",",et,leur,,,,,,,,,,,
617,K898,ROMAINS Jules,Les Hommes de bonne volonté : t. 16 : Verdun,1938,1938,Ecrits fictionnels,non renseigné,195,", après avoir fait près de quatre cents kilomètres ... mais à quelle heure est -il donc parti ? ... écoutez , amenez -le -moi . Mais dites -lui que j' ai exactement cinq",minutes à lui,"accorder . - bonjour , Duroure ; alors ça ne va pas ? - vous êtes au courant , mon général ? ... on ne vous a peut-être pas ... - si , si ! Ils ne sont pas gentils , ces allemands ,",que,j',ai,exactement,cinq,minutes,à,lui,accorder,.,-,,,,,,,,,,,
618,K475,ANOUILH Jean,La Sauvage,1938,1938,Ecrits fictionnels,non renseigné,237,"moi ? C' est grotesque ... Hartman elle doit vous trouver si belle , si propre , si parfumée , ce petit souillon . Elle doit souffrir pour vous . Elle ne vous a pas une seule",minute à elle,"et elle ne se révolte pas . Therese balbutie . mais , Hartman ... Hartman elle vous aime . Et pourtant vous ne lui avez jamais dit un mot pour l' aider à croire . Et , qui sait ,",vous,a,pas,une,seule,minute,à,elle,et,elle,ne,,,,,,,,,,,
619,K383,GIDE André,Journal : 1889-1939,1939,1939,non renseigné,non renseigné,590,"sa collection de péchés pouvait jamais être complète ! Comme s' il en fallait encore un de plus pour compléter sa perdition ! mon temps n' est pas encore venu , mais votre",temps à vous,"est toujours prêt . Le monde ne saurait vous haïr . ( Jean , VII , 6 . ) journalistes toujours prêts et prêts à tout n' importe quand . le monde ne peut vous haïr . 15 février",encore,venu,",",mais,votre,temps,à,vous,est,toujours,prêt,,,,,,,,,,,
620,K383,GIDE André,Journal : 1889-1939,1939,1939,non renseigné,non renseigné,1207,est celle qui vous dépayse . Mais un âge vient où il importe plus de s' affirmer que de s' instruire . Quelle force aurait alors celui qui ne ferait semblant de rien ! Il est,temps pour moi,d' oser dire tout ce qu' il est grand temps d' oser m' avouer à moi -même . 14 juillet . cette dame russe croit m' avoir conquis en me disant l' immense plaisir qu' elle a pris,de,rien,!,Il,est,temps,pour,moi,d',oser,dire,,,,,,,,,,,
621,S603,TARDIEU Jean,Accents. (1932-1938),1939,1939,Ecrits fictionnels,non renseigné,32,"la solennité de voir passer un ASTRE inconnu , merveilleux , qui écoute et comprend , elles sont venues trop tard et , désespérées , elles se taisent : il n' est même plus",temps pour LUI,dire adieu !,il,n',est,même,plus,temps,pour,LUI,dire,adieu,!,,,,,,,,,,,
622,P366,*SANS MENTION D'AUTEUR ,"La Civilisation écrite, dir. Julien Cain : 2",1939,1939,Ecrits non fictionnels,autres sciences humaines,1804,". Le libraire qui , en quelque sorte , vit la vie intellectuelle de ses clients , peut se servir d' eux pour se documenter . La critique , quand le libraire peut trouver quelque",temps à lui,"consacrer , est précieuse . Mais où trouver une revue complète de la critique ? Reste la lecture des livres . Un libraire peut -il croire en son jugement personnel ? Et a",le,libraire,peut,trouver,quelque,temps,à,lui,consacrer,",",est,,,,,,,,,,,
623,K929,DUHAMEL Georges,Chronique des Pasquier. 8. Le Combat contre les ombres,1939,1939,Ecrits fictionnels,non renseigné,118,"les récentes métamorphoses de la rhétorique Birault , c' est l' apparition du pronom impersonnel on ; et ce qu' il y a de plus curieux c' est qu' il s' en sert presque en même",temps pour lui,"et pour moi . Il m' a dit : - alors , on n' a plus confiance . Entre français ! C' est malheureux tout de même . Et pourtant , on faisait l' impossible pour bien accomplir son",en,sert,presque,en,même,temps,pour,lui,et,pour,moi,,,,,,,,,,,
624,E564,SARTRE Jean-Paul,Le mur,1939,1939,Ecrits fictionnels,littérature,174,"piges pas , mon vieux Riri , n' aie pas peur de le dire : on remettra ça . » Un peu plus tard , il avait fait une erreur dans un raisonnement délicat et il avait dit gaiement : « Au",temps pour moi,". » C' était une expression qu' il tenait de M. Fleurier et qui l' amusait . Il n' y avait pas de quoi fouetter un chat : « Mais est -ce que je me gobais , pendant que je disais ça ?",dit,gaiement,:,«,Au,temps,pour,moi,.,»,C',,,,,,,,,,,
625,L736,PEYRÉ Joseph,Matterhorn,1939,1939,Ecrits fictionnels,non renseigné,111,"- guides . Un peu avant midi , l' un des guides engagés pour la course du Matterhorn venait à l' échoppe chercher ses chaussures , ou faire remplacer quelques clous . - beau",temps pour toi,", disait Andreas . - tais -toi . Vivement qu' on redescende , et que je revienne prendre un bon café , bien tranquille au soleil . Attendant que sa chaussure fût prête , l'",quelques,clous,.,-,beau,temps,pour,toi,",",disait,Andreas,,,,,,,,,,,
626,L736,PEYRÉ Joseph,Matterhorn,1939,1939,Ecrits fictionnels,non renseigné,194,"un Rudi . Quant à Jos - Mari , deux craintes également pressantes l' avaient immédiatement saisi : ou Kate était très malade , ou elle partait , et elle n' avait que ce",moment pour lui,"dire adieu . Il se fit accompagner de Wolf , que le portier voulait retenir , et garder dans sa loge . Mais , Wolf ayant eu peur de l' ascenseur , ils montèrent par l' escalier .",elle,n',avait,que,ce,moment,pour,lui,dire,adieu,.,,,,,,,,,,,
627,K265,GIRAUDOUX Jean,Ondine,1939,1939,Ecrits fictionnels,non renseigné,90,"souhaitent , faire se trouver face à face un homme et une femme qui , depuis trois mois , s' évitent . Le Chambellan . - ici même ? L' Illusionniste . - À l' instant même . Le",temps pour vous,"de placer les curieux . Le Chambellan . - tu te fais des illusions . Il est vrai que c' est ton métier ... mais réfléchis que l' homme en question , apporte présentement le",l',instant,même,.,Le,temps,pour,vous,de,placer,les,,,,,,,,,,,
628,K648,GIDE André,Carnets d'Égypte,1939,1939,Ecrits non fictionnels,non renseigné,1066,", traducteur des livres d' Erman , que j' avais été relancer à l' hôtel des familles , en face du Savoy - et qui me raccompagne ensuite jusqu' à mon hôtel . J' ai tout mon",temps à moi,. Je m' en veux de savoir si mal l' employer . 2 mars . invité Henri Wild à dîner au Louxor . Je traîne un peu dolentement tout le long du jour et décommande la course à âne,.,J',ai,tout,mon,temps,à,moi,.,Je,m',,,,,,,,,,,
629,E342,BEAUVOIR Simone de,"Lettres à Sartre. II, 1940-1963",1940,1940,Ecrits non fictionnels,littérature,70,"suis venue chez moi trouver Sorokine . Elle m' a bouleversé l' âme , ça me fait poignant comme elle m' aime et je sens que je pourrais l' aimer bien bien fort si j' avais plus de",temps à lui,"donner — elle était nerveuse ces jours -ci , et elle voulait aujourd'hui une après-midi d' étreintes , mais justement je n' étais pas en état et après les premiers",si,j',avais,plus,de,temps,à,lui,donner,—,elle,,,,,,,,,,,
630,E342,BEAUVOIR Simone de,"Lettres à Sartre. II, 1940-1963",1940,1940,Ecrits non fictionnels,littérature,273,"10 000 et que Nagel tient 250 000 f . à votre disposition , sans compter un chèque chez votre mère , un chez Zette . Vous ne serez pas pauvre . Tâchez de me réserver un grand",temps pour moi,"pour le début mars , je voudrais tant ou à La Pouèze ou n' importe où être seule avec vous . Je suis toujours angoissée même avant les voyages qui m' amusent , je ne",de,me,réserver,un,grand,temps,pour,moi,pour,le,début,,,,,,,,,,,
631,E342,BEAUVOIR Simone de,"Lettres à Sartre. II, 1940-1963",1940,1940,Ecrits non fictionnels,littérature,285,de New York c' est que je vous y retrouve partout et que je l' aime avec vous . A ce soir ou demain . J' ai encore tant de choses à vous dire . Dites à Bost que je pense tout le,temps à lui,aussi et que je l' embrasse bien . Je vous couvre de tendres baisers . Votre charmant Castor Enveloppe AIRMAIL Monsieur Sartre 42 rue Bonaparte Paris 6e France 266 Vendredi [,que,je,pense,tout,le,temps,à,lui,aussi,et,que,,,,,,,,,,,
632,R518,DESNOS Robert,Mines de rien,1940,1940,Ecrits non fictionnels,non renseigné,59,un rocher telle chose que le paysan ne voit pas . Ce qui ne l' empêche pas de voir ce que le paysan voit . Nous avons tous dans les veines du sang de laboureur et il nous faut peu de,temps pour nous,laisser reprendre par les jeux alternés des saisons et des jours . J' aime que « Claudine » ait voisiné dans ma serviette d' écolier avec tel livre de géométrie ou d',il,nous,faut,peu,de,temps,pour,nous,laisser,reprendre,par,,,,,,,,,,,
633,K425,MAURIAC François,Journal 3,1940,1940,non renseigné,non renseigné,289,"l' obscure conscience de cette horlogerie cachée au-dessus de sa tête , de ce ressort qui se détendait lentement . Son heure n' était pas encore venue . Il n' est pas",temps pour lui,"de quitter la scène . Son rôle comporte d' autres répliques , d' autres gestes . Des millions d' hommes respirent encore . Hitler n' a pas épuisé son destin . Connaît -il",.,Il,n',est,pas,temps,pour,lui,de,quitter,la,non,,temps,pour,lui,sing,3,sing,,,
634,L438,QUENEAU Raymond,Pierrot mon ami,1942,1942,Ecrits fictionnels,non renseigné,172,"pourboire , le repas terminé . Le soldat et sa conquête étaient partis . Pistolet somnolait . Mésange fumait son cigare vespéral avec quelque nervosité ; il était",temps pour lui,"d' aller se reposer . Pierrot terminait une cigarette , en se demandant vaguement comment allait se passer la nuit avec ces deux lascars -là dans la même chambre que lui . En",quelque,nervosité,;,il,était,temps,pour,lui,d',aller,se,non,,temps,pour,lui,sing,3,sing,,,
635,K395,MONTHERLANT Henry de,La Reine morte,1942,1942,Ecrits fictionnels,non renseigné,178,"Ferrante il y a autre chose . Egas Coelho ce que votre majesté croira , je le croirai moi aussi , puisqu' elle ne peut se tromper . Ferrante debout ! Homme , debout ! On est tout le",temps à vous,"relever . Vous êtes tout le temps à genoux , comme les chameaux des Africains , qui s' agenouillent à la porte de chaque ville . Ah ! Quand je vois ce peuple d' adorants",!,On,est,tout,le,temps,à,vous,relever,.,Vous,non,,temps,à,vous,sing,2,?,,,
636,S368,GUILLOUX Louis,Le Pain des rêves,1942,1942,Ecrits fictionnels,non renseigné,119,", dans les jours qui suivirent , furent plus que jamais amères . Quoi de plus cruel que d' avoir violé son secret ? Il n' était plus libre , désormais , que de choisir son",moment pour nous,"livrer sa fortune . Encore ne pouvait -il trop tarder . éventée la mèche ! Rompu , le charme ... Nous avions brouillé le jeu de ses rêves . Par une exceptionnelle",",",que,de,choisir,son,moment,pour,nous,livrer,sa,fortune,,,,,,,,,,,
637,K772,VALÉRY Paul,Correspondance (1890-1942),1942,1942,Ecrits non fictionnels,non renseigné,371,projets . Notre soeur qui s' échappe du sanatorium où elle commençait d' aller mieux et qui va tomber sur nous dans les premiers jours de septembre ; la crainte du mauvais,temps pour elle,"après la grande fatigue du voyage ; crainte de la contagion pour les deux gosses que nous avons près néanmoins ( nonobstant dirait Pierre Louys ) , je travaille , et ne",;,la,crainte,du,mauvais,temps,pour,elle,après,la,grande,non,,temps,pour,elle,sing,3,sing,,,
638,K772,VALÉRY Paul,Correspondance (1890-1942),1942,1942,Ecrits non fictionnels,non renseigné,380,"à Naples ; qu' à mon retour j' ai trouvé toute ma famille bouleversée par la mort de ma tante Démarest ... et par des tas d' autres choses , de sorte que je n' ai guère eu de",temps à moi,"et qu' à présent que je pourrais espérer de respirer un peu , voici les répétitions de mon Candaule qui commencent . Et pourtant , j' aimerais te revoir un peu seul , avant",n',ai,guère,eu,de,temps,à,moi,et,qu',à,,,,,,,,,,,
639,K284,SAINT-EXUPÉRY Antoine de,Pilote de guerre,1942,1942,Ecrits fictionnels,non renseigné,296,". Quand je presse , je le sens crisser dans ma paume . - mitrailleur , l' oxygène ça va ? - ça va ... - quelle pression dans les bouteilles ? - euh ... soixante-dix . - ah bon . Le",temps pour nous,s' est gelé aussi . Nous sommes trois vieillards à barbe blanche . Rien n' est mobile . Rien n' est urgent . Rien n' est cruel . L' aventure de guerre ? Le commandant Alias a cru,-,ah,bon,.,Le,temps,pour,nous,s',est,gelé,non,"""pour nous"" = perspective",temps,pour,nous,sing,1,plur,,,
640,K674,BERNANOS Georges,Monsieur Ouine,1943,1943,Ecrits fictionnels,non renseigné,1479,"retomberont sans force , et il a l' air de leur faire face , le front baissé , les muscles tendus . Que de temps ils auront ainsi perdu pour l' amour , lorsqu' il était encore un",temps pour eux,"! ... et maintenant ... maintenant c' est vrai qu' elle ne comprend plus du tout , mais qu' importe ! Elle ne désire que sa volonté chérie , elle est prête à lui sacrifier",lorsqu',il,était,encore,un,temps,pour,eux,!,...,et,,,,,,,,,,,
641,L228,BATAILLE Georges,L'Expérience intérieure,1943,1943,Ecrits non fictionnels,philosophie,235,"la fin , tout voir avec des yeux sans vie , devenir Dieu , autrement on ne saurait pas ce qu' est sombrer , ne plus savoir . Nietzsche longtemps se retint sur la pente . Quand il fut",temps pour lui,"de céder , quand il comprit qu' étaient terminés les apprêts du sacrifice , il ne put dire que gaîment : je suis , moi , Dyonysos , etc. Où la curiosité s' attache :",pente,.,Quand,il,fut,temps,pour,lui,de,céder,",",non,,temps,pour,lui,sing,3,sing,,,
642,R940,GENEVOIX Maurice,Eva Charlebois,1944,1944,Ecrits fictionnels,non renseigné,189,"joints , pressant inconsciemment ses deux paumes l' une contre l' autre . Antonio venait de se lever . Il se mit à marcher devant elle , allant , venant , s' arrêtant par",moments pour lui,"jeter de plus près au visage ses mots fiévreux , son souffle , son désespoir : - Vous n' aurez même pas eu cette charité ! Il est trop tard , je n' en veux plus ! Et tant pis",venant,",",s',arrêtant,par,moments,pour,lui,jeter,de,plus,,,,,,,,,,,
643,K287,SAINT-EXUPÉRY Antoine de,Citadelle,1944,1944,Ecrits fictionnels,non renseigné,545,"portait dans le coeur cette masse de feuillage et d' oiseaux . "" quand , me demandaient -ils , quand finira la guerre ? Nous voudrions aussi comprendre quelque chose . Il est",temps pour nous,"de devenir ... "" et , si l' un d' eux capturait un renard des sables encore jeune et qu' il pût nourrir de ses mains , il le nourrissait , ou des gazelles quelquefois quand elles",quelque,chose,.,Il,est,temps,pour,nous,de,devenir,...,non,,temps,pour,nous,sing,1,plur,,,
644,K287,SAINT-EXUPÉRY Antoine de,Citadelle,1944,1944,Ecrits fictionnels,non renseigné,639,"l' exercice de prières auxquelles il n' est point répondu . Car cela seul te comblera sans crainte d' usure , qui te sera accordé hors de l' écoulement des jours quand les",temps pour toi,"seront révolus et quand il te sera permis d' être , ayant achevé de devenir . Et , certes , tu peux t' y méprendre et plaindre celui -là qui jette son appel dans la nuit vaine",écoulement,des,jours,quand,les,temps,pour,toi,seront,révolus,et,,,,,,,,,,,
645,S633,ROUMAIN Jacques,Gouverneurs de la rosée,1944,1944,Ecrits fictionnels,non renseigné,89,"la maîtresse du jardin ? - Lâche -moi , lâche -moi , j' ai froid . Elle se délivra de son étreinte et se leva . Elle avait la tête baissée , elle ne le regardait pas . - Il est",temps pour moi,"de partir . - Tu n' as pas répondu à ma question , non . Elle commença à redescendre la pente et il la suivit . Elle détacha la bride du cheval . - Tu n' as pas répondu à ma",pas,.,-,Il,est,temps,pour,moi,de,partir,.,,,,,,,,,,,
646,S633,ROUMAIN Jacques,Gouverneurs de la rosée,1944,1944,Ecrits fictionnels,non renseigné,97,", tu verras . Délira le regarda , interdite , puis un tendre sourire effaça ce qui restait d' anxiété sur son visage : - Tu as fait choix de quelque fille ? Ay , Manuel , il est",temps pour toi,"de t' établir et avec une négresse sérieuse et travailleuse , pas une de ces jeunesses comme il y en a dans le bourg . Combien de fois , je me suis dit : je n' ai plus beaucoup à",",",Manuel,",",il,est,temps,pour,toi,de,t',établir,non,,temps,pour,toi,sing,2,sing,,,
647,L444,MERLEAU-PONTY Maurice,Phénoménologie de la perception,1945,1945,non renseigné,philosophie,484,"de présence au sens large , avec son double horizon de passé et d' avenir originaires et l' infinité ouverte des champs de présence révolus ou possibles . Il n' y a de",temps pour moi,"que parce que j' y suis situé , c'est-à-dire parce que je m' y découvre déjà engagé , parce que tout l' être ne m' est pas donné en personne , et enfin , parce qu' un",Il,n',y,a,de,temps,pour,moi,que,parce,que,,,,,,,,,,,
648,L444,MERLEAU-PONTY Maurice,Phénoménologie de la perception,1945,1945,non renseigné,philosophie,484,", et enfin , parce qu' un secteur de l' être m' est si proche qu' il ne fait pas même tableau devant moi et que je ne peux pas le voir , comme je ne peux pas voir mon visage . Il y a du",temps pour moi,"parce que j' ai un présent . C' est en venant au présent qu' un moment du temps acquiert l' individualité ineffaçable , le "" une fois pour toutes "" , qui lui permettront",.,Il,y,a,du,temps,pour,moi,parce,que,j',?,"""pour moi"" = perspective?",temps,pour,moi,sing,1,sing,,,
649,L875,TRIOLET Elsa,Le Premier accroc coûte deux cents francs,1945,1945,Ecrits fictionnels,non renseigné,272,"somptueuse de m le ministre . Odette a toujours été dans les jupes de maman , tandis que moi j' avais une bonne avec une coiffe bretonne , et maman n' avait pas beaucoup de",temps pour moi,". Il faut dire que maman était distraite avec tout le monde , distraite et vague , toujours un peu décoiffée , tenant d' une main son face-à-main , de l' autre un livre , une",n',avait,pas,beaucoup,de,temps,pour,moi,.,Il,faut,,,,,,,,,,,
650,L694,BOSCO Henri,Le Mas Théotime,1945,1945,Ecrits fictionnels,non renseigné,141,"nous efforcions , nous aussi , de n' en pas manquer . L' exemple du vieil Alibert nous maintenait dans la sagesse et le travail de la maison nous prenait par bonheur assez de",temps pour nous,"empêcher de rêver . Mais dès que nous levions les yeux de notre tâche nous avions devant nous les collines hantées ; et la pensée de Clodius , comme un nuage sur les",prenait,par,bonheur,assez,de,temps,pour,nous,empêcher,de,rêver,,,,,,,,,,,
651,L686,GRACQ Julien,Un beau ténébreux,1945,1945,Ecrits fictionnels,non renseigné,79,"à dormir en plein air , peut-être craindraient -ils au matin de s' être perdus - car à mon avis ce n' est jamais par crainte des voleurs vulgaires qu' on s' enferme . Il fut un",temps pour moi,"où je dormais par grande préférence dans les lieux où la nuit , entre tous , me semble descendre particulièrement vierge : les églises , les parcs municipaux . "" nous",enferme,.,Il,fut,un,temps,pour,moi,où,je,dormais,,,,,,,,,,,
652,L686,GRACQ Julien,Un beau ténébreux,1945,1945,Ecrits fictionnels,non renseigné,131,"étendons sur l' herbe et très vite nous ne trouvons plus rien à nous dire - qu' à regarder , la face contre le ciel , les taches lumineuses bouger entre les branches . Là le",temps pour nous,"ne passe pas comme ailleurs , mais plutôt se fige - comme dans les bosquets sacrés des peintures allégoriques où tout à coup s' immobilise pour toujours l' envol d' une",les,branches,.,Là,le,temps,pour,nous,ne,passe,pas,non,,temps,pour,nous,sing,1,plur,,,
653,L293,ROY Gabrielle,Bonheur d'occasion,1945,1945,Ecrits fictionnels,non renseigné,246,"avec les égards , l' abandon confiant dus à un fiancé et tout comme si définitivement ils eussent conclu entre eux un accord tacite . Ainsi , elle le laissait seul quelque",temps pour lui,"faire du sucre à la crème , disait -elle ; et , de la cuisine , elle continuait à l' entretenir d' une façon aimable , un peu détachée et surtout empreinte de politesse .",elle,le,laissait,seul,quelque,temps,pour,lui,faire,du,sucre,,,,,,,,,,,
654,E483,CENDRARS Blaise,L'Homme foudroyé,1945,1945,Ecrits fictionnels,littérature,200,"a pas vu et il paraît qu' il y a des mois et des mois que vous êtes dans la région . — Excusez -moi , Félix . Mais je n' ai pas pu . J' ai été très pris , très occupé , pas une",minute à moi,... — On dit ça ! — Mais je vous assure ... — Une femme ? — Une femme ! — On peut la voir ? — Elle va venir tout à l' heure . Ajoutez un couvert à côté de moi . — J' ai,très,occupé,",",pas,une,minute,à,moi,...,—,On,,,,,,,,,,,
655,L644,GUÈVREMONT Germaine,Le Survenant,1945,1945,Ecrits fictionnels,non renseigné,172,"attendait à côté de deux superbes rats d' eau qu' il avait rapportés dans sa gueule . Amable , fier d' avoir sa revanche sur le Survenant , dit à son père : - perdez pas votre",temps à lui,"enseigner la chasse : il aura seulement à prendre ses leçons de Z' Yeux - Ronds . à la première lueur du jour , Didace et le Survenant appareillèrent . Ils avaient près de",:,-,perdez,pas,votre,temps,à,lui,enseigner,la,chasse,,,,,,,,,,,
656,P456,CHAMPIGNEULLE Bernard,"La Chasse, Vénerie, Fauconnerie (par La Hêtraie)",1945,1945,non renseigné,autres,180,"que , si rien d' extraordinaire n'  était arrivé depuis que nous étions au rendez-vous , ce dont il ne pouvait pas répondre , vu l' heure avancée , il avait une voie de bon",temps à nous,"donner . L' animal ayant fait sa nuit sous lui à la queue d' un étang dont le terrain était marécageux , Henry avait pu le reconnaître d' une façon certaine . C' était une",avait,une,voie,de,bon,temps,à,nous,donner,.,L',,,,,,,,,,,
657,R767,GUÉRIN Raymond,L'Apprenti,1946,1946,Ecrits fictionnels,non renseigné,354,". Qu' est -ce que ça pouvait lui faire ? C' était peut-être , au contraire , la solution rêvée ? Quelques vagues heures de présence dans un bureau , et tout le reste du",temps à lui,"pour écrire . Il songeait déjà à d' autres pièces . Oui , une manière comme une autre de tirer son épingle du jeu . Une manière un peu lâche , sans doute . Mais pourquoi ne",et,tout,le,reste,du,temps,à,lui,pour,écrire,.,,,,,,,,,,,
658,L223,ABELLIO Raymond,Heureux les pacifiques,1946,1946,Ecrits fictionnels,non renseigné,381,"et vivifiante . Ricarda , mon frère irremplaçable , mon aîné dans le Christ . Il ne parle plus et il vit . Il vit parce qu' il ne parle plus . - pars , maintenant ... il est",temps pour moi,"de réveiller Janine . Ne cesse pas de te brancher sur moi , continua -t-il d' un ton plus détendu . Nos conjonctions sont lourdes , surtout en avril et en mai , penses -y . Les",",",maintenant,...,il,est,temps,pour,moi,de,réveiller,Janine,non,,temps,pour,moi,sing,1,sing,,,
